"Data e ora";"Pressa 0: Energia Reattiva positiva - kVarh";"Pressa 0.5: Energia Reattiva positiva - kVarh";"Pressa 1-2-3-4-5-6: Energia Reattiva positiva - kVarh";"QG Espansori: Energia Reattiva positiva - kVarh";"QG Locale Pompe: Energia Reattiva positiva - kVarh";"QG Centrale Termica: Energia Reattiva positiva - kVarh";"QG Compressori: Energia Reattiva positiva - kVarh";"QG Impianto macinatura: Energia Reattiva positiva - kVarh";"Pressa 7: Energia Reattiva positiva - kVarh";"Pressa 8: Energia Reattiva positiva - kVarh";"Pressa 9: Energia Reattiva positiva - kVarh";"QG Impianto di Taglio: Energia Reattiva positiva - kVarh";"Imp. Automazione: Energia Reattiva positiva - kVarh";"PDC Uffici: Energia Reattiva positiva - kVarh";"Uffici: Energia Reattiva positiva - kVarh"
"01/10/2023  08:45";49775,61;50029,83;25112,68;7647,55;255132,9;19097,21;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,61;13472,21;8192,9
"01/10/2023  09:00";49775,61;50030;25112,68;7647,55;255132,9;19097,24;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,63;13472,21;8192,9
"01/10/2023  09:15";49775,61;50030,14;25112,68;7647,55;255132,9;19097,26;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,66;13472,21;8192,9
"01/10/2023  09:30";49775,61;50030,3;25112,68;7647,55;255132,9;19097,28;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,68;13472,21;8192,9
"01/10/2023  09:45";49775,61;50030,45;25112,68;7647,55;255132,9;19097,3;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,7;13472,21;8192,9
"01/10/2023  10:00";49775,61;50030,61;25112,68;7647,55;255132,9;19097,32;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,72;13472,21;8192,9
"01/10/2023  10:15";49775,61;50030,76;25112,68;7647,55;255132,9;19097,34;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,74;13472,21;8192,9
"01/10/2023  10:30";49775,61;50030,9;25112,68;7647,55;255132,9;19097,36;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,76;13472,21;8192,9
"01/10/2023  10:45";49775,61;50031,05;25112,68;7647,55;255132,9;19097,38;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,78;13472,21;8192,9
"01/10/2023  11:00";49775,61;50031,21;25112,68;7647,55;255132,9;19097,4;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,8;13472,21;8192,9
